Acetobacter	aceti	xylinum
Acetomicrobium	faecalis	
Acidiphilium	aminolytica	
Acidiphilium	facilis	
Actinobaculum	massiliae	
Aerococcus	sanguicola	
Alkalibacterium	olivoapovliticus	
Anaerorhabdus	furcosus	
Anaerovibrio	lipolytica	
Anaplasma	phagocytophila	
Anoxybacillus	pushchinensis	
Azospirillum	largomobile	
Bacillus	aneurinolyticus	
Bacillus	arsenicoselenatis	
Bacillus	pallidus (illeg.)	
Bacillus	thermoantarcticus	
Bacteriolyticum		
Bacteriolyticum	stolpii	
Bacteroides	tectum	
Bartonella	schoenbuchii	
Beneckea	nereida	
Beneckea	nigrapulchrituda	
Bifidobacterium	thermophilium	
Brevibacterium	lutescens	
Brevibacterium	vitaeruminis	
Bryantella		
Bryantella	formatexigens	
Capsularis	zoogleiformans	
Carboxydobrachium		
Carboxydobrachium	pacificum	
Caulobacter	leidyia	
Citrobacter	diversus	
Clavibacter	iranicum	
Clavibacter	michiganense	
Clavibacter	michiganense	insidiosum
Clavibacter	michiganense	michiganense
Clavibacter	michiganense	nebraskense
Clavibacter	michiganense	sepedonicum
Clavibacter	michiganense	tessellarius
Clostridium	acidiurici	
Clostridium	barati	
Clostridium	clostridiiforme	
Clostridium	fervidus	
Clostridium	formicoaceticum	
Clostridium	ghoni	
Clostridium	intestinalis	
Clostridium	irregularis	
Clostridium	maximum	
Clostridium	purinolyticum	
Clostridium	putrificum	
Clostridium	sardiniensis	
Clostridium	sartagoformum	
Clostridium	thermoaceticum	
Clostridium	thermoautotrophicum	
Clostridium	thermosulfurogenes	
Clostridium	ventriculi	
Colwellia	psychroerythrus	
Corynebacterium	tuscaniae	
Corynebacterium	variabilis	
Cyclobacterium	marinus	
Defluvibacter	lusatiae	
Defluvicoccus		
Defluvicoccus	vanus	
Desulfobacter	giganteus	
Desulfomicrobium	baculatus	
Desulforhabdus	amnigenus	
Desulfosarcina	cetonicum	
Desulfovibrio	alcoholovorans	
Desulfovibrio	fructosovorans	
Dictyoglomus	turgidus	
Edwardsiella	anguillimortifera	
Erwinia	persicinus	
Filobacillus	milensis	
Flavobacterium	halmephilium	
Frondicola		
Frondicola	australicus	
Fusobacterium	plauti	
Goodfellowia		
Goodfellowia	coeruleoviolacea	
Gordona		
Gordona	aichiensis	
Gordona	amarae	
Gordona	bronchialis	
Gordona	hirsuta	
Gordona	hydrophobica	
Gordona	rubropertinctus	
Gordona	sputi	
Gordona	terrae	
Gordonia	rubropertinctus	
Halobacterium	salinarium	
Haloincola	saccharolytica	
Haloincola	saccharolytica	saccharolytica
Haloincola	saccharolytica	senegalensis
Halomonas	marisflavae	
Halomonas	pantelleriense	
Halomonas	variabilis	
Halorubrobacterium	coriensis	
Hyphomicrobium	facilis	
Hyphomicrobium	facilis	facilis
Hyphomicrobium	facilis	tolerans
Hyphomicrobium	facilis	ureaphilum
Ketogulonigenium		
Ketogulonigenium	robustum	
Ketogulonigenium	vulgare	
Kitasatosporia		
Kitasatosporia	cystarginea	
Kitasatosporia	griseola	
Kitasatosporia	mediocidica	
Kitasatosporia	phosalacinea	
Kitasatosporia	setae	
Klebsiella	mobilis	
Lactobacillus	rossii	
Legionella	bozemanii	
Megamonas	hypermegas	
Melisococcus		
Melisococcus	plutonis	
Methanobacterium	thermoaggregans	
Methanobacterium	thermoalcaliphilum	
Methanobacterium	thermoautotrophicum	
Methanoculleus	bourgense	
Methanoculleus	thermophilicus	
Methanohalobium	evestigatus	
Methanohalophilus	oregonense	
Methanomicrococcus		
Methanomicrococcus	blatticola	
Methanosaeta	thermophila	
Methanosarcina	methanica	
Methanospirillum	hungatii	
Methanothermobacter	wolfei	
Methanothrix	thermophila	
Methylothermus	subterraneus	
Methylothermus	thermalis	
Micromonas		
Micromonas	micros	
Microsphaera		
Microsphaera	multipartita	
Mitsuokella	multiacidus	
Mycoplasma	haemosuis	
Mycoplasma	phocacerebrale	
Mycoplasma	phocarhinis	
Natrialba	aegyptiaca	
Nocardia	sulphurea	
Nocardioides	fastidiosa	
Nocardiopsis	compostus	
Nonomuraea	dietzii	
Nonomuria		
Nonomuria	africana	
Nonomuria	angiospora	
Nonomuria	fastidiosa	
Nonomuria	ferruginea	
Nonomuria	flexuosa	
Nonomuria	helvata	
Nonomuria	polychroma	
Nonomuria	pusilla	
Nonomuria	recticatena	
Nonomuria	roseola	
Nonomuria	roseoviolacea	
Nonomuria	rubra	
Nonomuria	salmonea	
Nonomuria	spiralis	
Nonomuria	turkmeniaca	
Novosphingobium	aromaticivorum	
Novosphingobium	roseae	
Novosphingobium	stygiae	
Novosphingobium	subterraneae	
Oceanomonas		
Oceanomonas	baumannii	
Oceanomonas	doudoroffii	
Paenibacillus	durum	
Pasteurella	bettii	
Pasteurella	gallicida	
Pasteurella	mairi	
Pectobacterium	cacticidum	
Pelczaria		
Pelczaria	aurantia	
Pelotomaculum	isophthalicum	
Pelotomaculum	terephthalicum	
Pirella		
Pirella	marina	
Pirella	staleyi	
Prevotella	oulora	
Propionibacterium	propionicus	
Pseudomonas	straminae	
Quadricoccus		
Quadricoccus	australiensis	
Ralstonia	mannitolytica	
Reichenbachia		
Reichenbachia	agariperforans	
Rhizomonas		
Rhizomonas	suberifaciens	
Roseomonas	rosea	
Ruegeria	gelatinovora	
Saccharothrix	aerocolonigenes	staurosporeus
Salipiger	mucescens	
Schineria		
Schineria	larvae	
Sinococcus		
Sinococcus	qinghaiensis	
Sinorhizobium	xinjiangensis	
Sphingobacterium	antarcticus	
Sphingobacterium	composti.	
Staphylococcus	capitis	ureolyticus
Streptimonospora		
Streptimonospora	salina	
Streptococcus	difficile	
Streptomyces	kashmirensis	
Streptomyces	morookaensis	
Streptomyces	rhizosphaerius	
Streptomyces	viridoflavum	
Streptoverticillium	olivoreticulum	
Streptoverticillium	reticulum	protomycicum
Streptoverticillium	verticillium	quintum
Streptoverticillium	verticillium	tsukushiense
Sulfuriferula	plumbophilus	
Tannerella	forsythensis	
Thermococcus	aegaeicus	
Thermodesulfobacterium	mobile	
Thermodesulforhabdus	norvegicus	
Thermus	profundus	
Thialkalicoccus		
Thialkalicoccus	limnaeus	
Thialkalimicrobium		
Thialkalimicrobium	aerophilum	
Thialkalimicrobium	cyclicum	
Thialkalimicrobium	sibiricum	
Thialkalivibrio		
Thialkalivibrio	denitrificans	
Thialkalivibrio	halophilus	
Thialkalivibrio	jannaschii	
Thialkalivibrio	nitratireducens	
Thialkalivibrio	nitratis	
Thialkalivibrio	paradoxus	
Thialkalivibrio	thiocyanoxidans	
Thialkalivibrio	versutus	
Thiorhodococcus	minus	
Tsukamurella	paurometabolum	
Tsukamurella	strandjordae	
Verticia		
Verticia	sediminum	
Vibrio	cyclotrophicus	
Vibrio	shiloi	
Virgosporangium		
Virgosporangium	aurantiacum	
Virgosporangium	ochraceum	
Xenorhabdus	japonicus	
Xenorhabdus	nematophilus	
Xenorhabdus	nematophilus	beddingii
Xenorhabdus	nematophilus	bovienii
Xenorhabdus	nematophilus	nematophilus
Xenorhabdus	nematophilus	poinarii
Yania		
Yania	flava	
Yania	halotolerans	
Zimmermannella		
Zobellia	galactanovorans	
